Nome da Vaga,Nome da Empresa,Local da Vaga,Foi postada a:,Link da vaga:
Analista de Análise de Dados Sênior,C6 Bank,"São Paulo, SP",Há 6 dias,https://br.linkedin.com/jobs/view/analista-de-an%C3%A1lise-de-dados-s%C3%AAnior-at-c6-bank-4297452442?position=53&pageNum=0&refId=e2w0%2Fw1vytdc3yeJ7zFdaQ%3D%3D&trackingId=aigjKb7guTxNNBIPp1k7rA%3D%3D
ANALISTA DE BI,G4F,"Mato Grosso, Brasil",Há 6 dias,https://br.linkedin.com/jobs/view/analista-de-bi-at-g4f-4318398677?position=54&pageNum=0&refId=e2w0%2Fw1vytdc3yeJ7zFdaQ%3D%3D&trackingId=%2B97eULGS55ZgLWBicZIkwA%3D%3D
Analista de Dados - Power BI,Target Sistemas,"São Paulo, SP",Há 1 dia,https://br.linkedin.com/jobs/view/analista-de-dados-power-bi-at-target-sistemas-4324749599?position=55&pageNum=0&refId=e2w0%2Fw1vytdc3yeJ7zFdaQ%3D%3D&trackingId=n4VL%2FrVAIubhOBkeirX0Zw%3D%3D
Analista de Sistemas Operacionais Jr,DHL Supply Chain,"Jandira, SP",Há 13 horas,https://br.linkedin.com/jobs/view/analista-de-sistemas-operacionais-jr-at-dhl-supply-chain-4316633810?position=56&pageNum=0&refId=e2w0%2Fw1vytdc3yeJ7zFdaQ%3D%3D&trackingId=rNH5XfsjIv3o%2FGOutWzT%2Bg%3D%3D
Analista Financeiro Júnior | FP&A,americanas s.a.,"Rio de Janeiro, RJ",Há 5 dias,https://br.linkedin.com/jobs/view/analista-financeiro-j%C3%BAnior-fp-a-at-americanas-s-a-4308806622?position=57&pageNum=0&refId=e2w0%2Fw1vytdc3yeJ7zFdaQ%3D%3D&trackingId=eXyRlV5Mm%2FGCalPDmR3Xrw%3D%3D
Especialista em Jornada do Aluno,Centro Universitário FMU | FIAM-FAAM,"São Paulo, SP",Há 3 dias,https://br.linkedin.com/jobs/view/especialista-em-jornada-do-aluno-at-centro-universit%C3%A1rio-fmu-fiam-faam-4318414140?position=58&pageNum=0&refId=e2w0%2Fw1vytdc3yeJ7zFdaQ%3D%3D&trackingId=iN9%2Fx%2BBBhYIusUftPd3RUg%3D%3D
Analista de Suporte ao Cliente Junior,Caf,Brasil,Há 2 dias,https://br.linkedin.com/jobs/view/analista-de-suporte-ao-cliente-junior-at-caf-4332806426?position=59&pageNum=0&refId=e2w0%2Fw1vytdc3yeJ7zFdaQ%3D%3D&trackingId=pHF0Qw%2BYStO5bHwZhQo3Vw%3D%3D
Analista de Dados Jr.,Mantiqueira Brasil,"Itanhandu, MG",Há 3 dias,https://br.linkedin.com/jobs/view/analista-de-dados-jr-at-mantiqueira-brasil-4318413181?position=60&pageNum=0&refId=e2w0%2Fw1vytdc3yeJ7zFdaQ%3D%3D&trackingId=UqYbgr%2FSTkoG00mD%2F2IpvA%3D%3D
Estagiário de Análise de Dados e BI,Monaco Diesel,"Ananindeua, PA",Há 6 dias,https://br.linkedin.com/jobs/view/estagi%C3%A1rio-de-an%C3%A1lise-de-dados-e-bi-at-monaco-diesel-4323928926?position=1&pageNum=2&refId=u0%2FMted7YsAEB12fLqplYA%3D%3D&trackingId=fVMapAUkE6tmY7zzRp3Y8w%3D%3D
Analista de Dados,ELO Soluções Logísticas Integradas,"Itajaí, SC",Há 23 horas,https://br.linkedin.com/jobs/view/analista-de-dados-at-elo-solu%C3%A7%C3%B5es-log%C3%ADsticas-integradas-4331490412?position=2&pageNum=2&refId=u0%2FMted7YsAEB12fLqplYA%3D%3D&trackingId=%2Fet6dBWiIIL0pdiI88bPIg%3D%3D
Estágio Transformação Digital - Flamengo (RJ),B. Braun Group,"São Gonçalo, RJ",Há 5 dias,https://br.linkedin.com/jobs/view/est%C3%A1gio-transforma%C3%A7%C3%A3o-digital-flamengo-rj-at-b-braun-group-4308596370?position=3&pageNum=2&refId=u0%2FMted7YsAEB12fLqplYA%3D%3D&trackingId=zUgp1BOku6w6bG8tAS8zpA%3D%3D
Estágio em CRO [Remoto],Shakers Agência & Consultoria,São Paulo e Região,Há 2 dias,https://br.linkedin.com/jobs/view/est%C3%A1gio-em-cro-remoto-at-shakers-ag%C3%AAncia-consultoria-4332340869?position=4&pageNum=2&refId=u0%2FMted7YsAEB12fLqplYA%3D%3D&trackingId=mp9gIciP31kviD0Wpwffqg%3D%3D
Estágio - Estratégia e Desempenho,CNI - Confederação Nacional da Indústria,"Brasília, DF",Há 6 dias,https://br.linkedin.com/jobs/view/est%C3%A1gio-estrat%C3%A9gia-e-desempenho-at-cni-confedera%C3%A7%C3%A3o-nacional-da-ind%C3%BAstria-4316754712?position=5&pageNum=2&refId=u0%2FMted7YsAEB12fLqplYA%3D%3D&trackingId=yH%2FK89y6NSTk6Hh0s5AMag%3D%3D
Business Intelligence II,Bradesco,"Osasco, SP",Há 1 dia,https://br.linkedin.com/jobs/view/business-intelligence-ii-at-banco-bradesco-4332908903?position=6&pageNum=2&refId=u0%2FMted7YsAEB12fLqplYA%3D%3D&trackingId=rqLnxsJykzL%2BuA8163RGpg%3D%3D
Analista de dados,PwC,"Piracicaba, SP",Há 1 dia,https://br.linkedin.com/jobs/view/analista-de-dados-at-pwc-4324740703?position=7&pageNum=2&refId=u0%2FMted7YsAEB12fLqplYA%3D%3D&trackingId=jLV44Aj%2BOWc6Ylz68x%2FRjw%3D%3D
Analista de Dados,Red Bull,São Paulo e Região,Há 4 horas,https://br.linkedin.com/jobs/view/analista-de-dados-at-red-bull-4333019146?position=8&pageNum=2&refId=u0%2FMted7YsAEB12fLqplYA%3D%3D&trackingId=Tc3bKiHfJRmHBZR8HLugEw%3D%3D
Assistente Comercial,Echoenergia,"São Paulo, SP",Há 15 horas,https://br.linkedin.com/jobs/view/assistente-comercial-at-echoenergia-4331419658?position=9&pageNum=2&refId=u0%2FMted7YsAEB12fLqplYA%3D%3D&trackingId=Vw994QbRfp9bgazMtar73g%3D%3D
ANALISTA DE OPERAÇÕES JUNIOR,DHL Supply Chain,"Guarulhos, SP",Há 2 dias,https://br.linkedin.com/jobs/view/analista-de-opera%C3%A7%C3%B5es-junior-at-dhl-supply-chain-4319306277?position=10&pageNum=2&refId=u0%2FMted7YsAEB12fLqplYA%3D%3D&trackingId=CbG%2FA6Zh3ouyrNfBInWiJA%3D%3D
