Nome da Vaga,Nome da Empresa,Local da Vaga,Foi postada a:,Link da vaga:
Coordenador de Automação Industrial & Digital - Santa Rita - PB,Alpargatas S.A.,"Santa Rita, PB",Há 6 dias,https://br.linkedin.com/jobs/view/coordenador-de-automa%C3%A7%C3%A3o-industrial-digital-santa-rita-pb-at-alpargatas-s-a-4289077336?position=39&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=d%2BPxeqigBhnQ%2B%2BDU4wvmVQ%3D%3D
Analista de Testes Pleno,Evolutix Intelligent Living,"São Paulo, Brasil",Há 2 dias,https://br.linkedin.com/jobs/view/analista-de-testes-pleno-at-evolutix-intelligent-living-4332723894?position=40&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=dhPFqcrcYaz3lqfCaOr9zg%3D%3D
Arquiteto de Soluções em Automação Robótica de Processos - SP,Igreja Universal,"São Paulo, SP",Há 3 dias,https://br.linkedin.com/jobs/view/arquiteto-de-solu%C3%A7%C3%B5es-em-automa%C3%A7%C3%A3o-rob%C3%B3tica-de-processos-sp-at-igreja-universal-4318411983?position=41&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=ncPLBMipItC6gm2YxJpWgg%3D%3D
Analista de Sistemas,Nova Saúde,"Rio de Janeiro, RJ",Há 6 dias,https://br.linkedin.com/jobs/view/analista-de-sistemas-at-nova-sa%C3%BAde-4318393239?position=42&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=qtl5laLjtpFFbOCrcMxqoA%3D%3D
Analista em Inteligência Artificial (IA) Sênior,Dexco,Brasil,Há 1 dia,https://br.linkedin.com/jobs/view/analista-em-intelig%C3%AAncia-artificial-ia-s%C3%AAnior-at-dexco-4332888217?position=43&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=9D%2FNM%2BRMBA%2BpRm8OyAmCMw%3D%3D
Analista de Automação Pleno - São Bernardo do Campo/SP,Shopee,"São Paulo, SP",Há 1 dia,https://br.linkedin.com/jobs/view/analista-de-automa%C3%A7%C3%A3o-pleno-s%C3%A3o-bernardo-do-campo-sp-at-shopee-4319578285?position=44&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=melX1PEwmVOQg2NjVrWYiQ%3D%3D
Desenvolvedor(a) LabVIEW,Fundação CERTI,"Florianópolis, SC",Há 1 dia,https://br.linkedin.com/jobs/view/desenvolvedor-a-labview-at-funda%C3%A7%C3%A3o-certi-4324732393?position=45&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=9nyT8OUqkzjL67chVJVKDw%3D%3D
Especialista de Business Intelligence (BI),Frescatto,"Rio de Janeiro, RJ",Há 1 dia,https://br.linkedin.com/jobs/view/especialista-de-business-intelligence-bi-at-frescatto-4332942003?position=46&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=GEE0LkRD33R26q87YIxTig%3D%3D
Especialista de Conciliação Financeira,byx,"São Paulo, SP",Há 23 horas,https://br.linkedin.com/jobs/view/especialista-de-concilia%C3%A7%C3%A3o-financeira-at-byx-4319800581?position=47&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=BF4CFzZ2d%2BVssAAVYJeSFA%3D%3D
Desenvolvedor Python – RPA | ETL,Mouts TI,Brasil,Há 1 dia,https://br.linkedin.com/jobs/view/desenvolvedor-python-%E2%80%93-rpa-etl-at-mouts-it-4332908083?position=48&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=8W0cgwUIVmjNogHVXDtFww%3D%3D
